Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0coiC3yiiQVSqbGBNzNgkr,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:15tHagkk8z306XkyOHqiip,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1PtQJZVZIdWIYdARpZRDFO,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,5,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1vkgVKTsovqLrC4ZHREqXh,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2Ac0Zn3FYbXjdjEsIpWThz,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2lkQ0RO3LVX2L4g4wz5fSO,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,2,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:70gbuMqwNBE2Y5rkQJE9By,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,4,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:77NNZQSqzLNqh2A9JhLRkg,08e1fd3eb615451083bd1cb841d67a92,2026-01-05T05:01:23Z,2,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:0coiC3yiiQVSqbGBNzNgkr,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1vkgVKTsovqLrC4ZHREqXh,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,2,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2Ac0Zn3FYbXjdjEsIpWThz,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2lkQ0RO3LVX2L4g4wz5fSO,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2RnPATK99oGOZygnD2GTO6,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,5,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:70gbuMqwNBE2Y5rkQJE9By,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,4,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:77NNZQSqzLNqh2A9JhLRkg,d9e3a4c6faba4ddf85e1dd07b1522909,2026-01-05T05:13:10Z,3,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:0coiC3yiiQVSqbGBNzNgkr,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,1,Weird and nice,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:15tHagkk8z306XkyOHqiip,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,0,Evocative but never liked the song itself,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1PtQJZVZIdWIYdARpZRDFO,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,4,Great song and so big to the show,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1vkgVKTsovqLrC4ZHREqXh,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,2,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2lkQ0RO3LVX2L4g4wz5fSO,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,1,Solid,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2RnPATK99oGOZygnD2GTO6,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,2,Small ding bc show had Joe cocker version,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:41vXrvl9HIfUpijbIgi5R6,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,2,"Yes, so many choices from this show",fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:70gbuMqwNBE2Y5rkQJE9By,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,5,Just a great song,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:77NNZQSqzLNqh2A9JhLRkg,3a135dac5970417d86762d74b3403116,2026-01-05T16:21:54Z,0,Iconic but too played out for me,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:0coiC3yiiQVSqbGBNzNgkr,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,2,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:15tHagkk8z306XkyOHqiip,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,1,Hard to not give at least one point to one of the most identifiable theme songs in tv history.  ,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1PtQJZVZIdWIYdARpZRDFO,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,3,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1vkgVKTsovqLrC4ZHREqXh,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,2,Points awarded for the explanation ,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:2RnPATK99oGOZygnD2GTO6,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,0,"Um, this is supposed to be the Joe Cocker version, which is amazing. ",fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:41vXrvl9HIfUpijbIgi5R6,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,2,Didn’t even remember that Phineas had Ferb had music ,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:70gbuMqwNBE2Y5rkQJE9By,a12befea5b914fbf84f0330d4d151de5,2026-01-05T22:53:42Z,7,Forgot how much I loved this scene/ song at the end of Entourage ,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:0coiC3yiiQVSqbGBNzNgkr,2f0b5460e6ad4c9a9203f605c3ca0ad5,2026-01-06T06:48:25Z,4,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:15tHagkk8z306XkyOHqiip,2f0b5460e6ad4c9a9203f605c3ca0ad5,2026-01-06T06:48:25Z,0,season one titanic energy...sorry,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1PtQJZVZIdWIYdARpZRDFO,2f0b5460e6ad4c9a9203f605c3ca0ad5,2026-01-06T06:48:25Z,1,,fec4e2d1b16e47ac86f60b9ec2ffdb31
spotify:track:1vkgVKTsovqLrC4ZHREqXh,2f0b5460e6ad4c9a9203f605c3ca0ad5,2026-01-06T06:48:25Z,1,interesting concept,fec4e2d1b16e47ac86f60b9ec2ffdb31
